"ImageFile","Points:0","Points:1","Points:2"
13,357.75,241.85,6.2891
13,354.24,243.05,6.8882
13,355.06,243,6.4726
13,356.02,242.93,6.2818
13,356.96,242.68,6.3044
13,356.98,243.72,6.7506
13,317,197,7.5
13,317.22,197.39,7.5
13,316.78,197.61,7.5
13,317,198,7.5
13,332,199,7.5
13,333.13,199.07,7.9794
13,336.73,198.76,8.2899
13,337.95,198.69,8.3243
13,339,199,7.5
13,339.22,199,8.0839
13,332.39,199.61,7.5
13,333,200,7.5
13,333.95,199.41,7.9521
13,334.93,199.32,7.9886
13,350.99,210.04,8.1162
13,351,211.06,7.6923
13,350.88,213.11,7.8638
13,352.87,213.12,7.3205
13,356,213,7.7852
13,351.11,214.17,7.9648
13,351.98,213.94,7.2827
13,351.76,215.11,7.3749
13,356.98,214.98,7.1543
13,358.97,215.08,7.9749
13,352.26,216.15,7.6673
13,358.88,216.1,7.2888
13,360,216,7.5
13,359,217,7.5
13,360,217,7.5
13,361,217,7.5
13,352.35,217.97,7.4263
13,360,218,7.5
13,373,218,7.5
13,374.13,218.13,7.9442
13,375.98,218.03,8.1371
13,352.29,218.82,7.1882
13,358.62,218.64,7.21
13,372,219,7.5
13,373,219,7.5
13,374.01,219.01,7.5477
13,376.01,219.01,7.6485
13,377.08,219.07,7.851
13,378.04,219.38,7.8027
13,378.47,219.46,7.9689
13,351.97,219.91,7.3628
13,357.75,219.77,7.0237
13,373,220,7.5
13,374,220,7.5
13,375,220,7.5
13,378.58,219.94,7.7401
13,352.35,221.12,7.6887
13,356.88,220.86,7.1405
13,374,221,7.5
13,375,221,7.5
13,376,221,7.5
13,377,221,7.5
13,378,221,7.5
13,379,221,7.5
13,357.25,222.01,6.3632
13,375,222,7.5
13,376,222,7.5
13,377,222,7.5
13,378,222,7.5
13,352.59,223.11,7.3549
13,377,223,7.5
13,378,223,7.5
13,407.15,223.14,8.0181
13,419.01,223.01,8.1898
13,377.61,223.22,7.5
13,406.88,223.5,7.9675
13,407.35,223.83,7.8941
13,408.05,224.01,7.6342
13,419,224,7.6654
13,408,225,7.5
13,409,225,7.5
13,410,225,7.5
13,369.03,226.17,5.8666
13,409,226,7.5
13,410,226,7.5
13,411,226,7.5
13,420.98,225.95,7.6384
13,357,227,6.5874
13,358,227,6.1289
13,370,227.05,5.9426
13,371,227.03,5.9525
13,411,227,7.5
13,412,227,7.5
13,413,227,7.5
13,352.18,227.84,7.0046
13,362.04,227.99,5.919
13,376.99,228.08,5.9299
13,412,228,7.5
13,413,228,7.5
13,414,228,7.5
13,358,229,6.556
13,357,229,7.3436
13,377.98,229.04,5.947
13,378.93,229.11,5.8516
13,414,229,7.5
13,415,229,7.5
13,360,230,6.0688
13,379.86,230.05,5.841
13,414,230,7.5
13,415,230,7.5
13,352.85,230.8,6.9803
13,360,231,6.2217
13,379.87,230.96,5.9102
13,415,231,7.5
13,422.13,230.9,7.7996
13,378.94,231.93,5.9379
13,379.74,231.78,5.8986
13,415.59,232.3,7.8611
13,416.06,232.03,7.5417
13,422.01,231.98,7.5572
13,423.01,231.98,7.7178
13,424.81,231.84,8.209
13,353.1,232.85,7.0642
13,415.6,233.34,7.906
13,351.14,234.21,8.076
13,353.82,233.8,6.8838
13,360.77,233.84,6.0227
13,415.32,234.43,7.8736
13,351.89,235.13,7.9186
13,369.95,234.94,5.9361
13,372.99,234.98,5.9384
13,414.43,235.44,7.9098
13,415.25,235.26,7.5943
13,416.06,235.07,7.5482
13,352.05,236.23,7.9504
13,367.97,235.85,5.8473
13,369.77,235.71,5.8735
13,373.96,235.9,5.8672
13,377.72,235.69,5.8868
13,412.27,236.74,7.857
13,413.28,236.38,8.0298
13,414.24,236.26,7.612
13,415.08,236.09,7.5531
13,352.26,237.12,8.0198
13,357.29,237.02,6.4764
13,358.21,237.18,6.1016
13,359.02,237.02,6.0186
13,410.34,237.62,7.9793
13,411.4,237.28,7.9036
13,412.24,237.28,7.5926
13,414.05,237.07,7.5636
13,357.05,238.02,6.5736
13,409.29,238.33,8.0367
13,410.24,238.27,7.624
13,412.07,238.06,7.5507
13,376,239,7.5
13,407.1,239.48,7.9537
13,408.21,239.14,7.9148
13,409.22,239.21,7.6142
13,410.07,239.07,7.5685
13,422.8,238.8,7.6142
13,374.81,240.58,7.8031
13,375,240,7.5
13,376,240,7.5
13,377,240,7.5
13,405,240,7.5
13,406.05,240.01,7.9998
13,422.84,239.84,7.8965
13,353.75,241.26,7.5044
13,375.11,241.2,7.6903
13,377,241,7.5
13,378,241,7.5
13,404.78,240.61,7.5
13,405,241,7.5
13,407,241,7.5
13,408,241,7.5
13,409,241,7.5
13,410.01,240.94,7.5528
13,413,240.94,7.5488
13,418,240.96,7.5415
13,357.82,241.73,6.9623
13,374.37,242.24,7.8786
13,375.17,242.2,7.638
13,375.99,241.99,7.628
13,378,242,7.5
13,379,242,7.5
13,408,242,7.5
13,409,242,7.5
13,410,242,7.5
13,411,241.41,7.9535
13,413,241.41,7.9536
13,414,242,7.5
13,415,242,7.5
13,416,242,7.5
13,417,242,7.5
13,418,242,7.5
13,418.96,241.63,7.8635
13,420.93,241.44,7.9221
13,357.69,243.05,7.484
13,373,243,7.5
13,374.14,243.13,7.613
13,374.88,242.89,7.664
13,375.87,243.05,7.9659
13,376.94,242.65,8.0918
13,378.61,242.22,7.5
13,415,243,7.5
13,416,243,7.5
13,417,243,7.5
13,354,244.12,7.704
13,356.02,243.96,7.0016
13,358.48,244.19,7.9777
13,372,244,7.5
13,373,244,7.5
13,374.78,243.77,7.9437
13,357.11,244.89,7.3464
13,358.63,244.89,7.8209
13,371.78,244.61,7.5
13,372,245,7.5
13,372.84,244.66,7.6026
13,374,245,7.5
13,353.98,246.31,7.7894
13,358.84,245.75,7.9787
13,353.07,247.11,8.0098
13,353.98,247.07,7.714
13,354.87,247.16,7.8516
13,356.98,246.95,7.6384
13,358.87,246.87,8.0929
13,352.83,248.15,7.896
13,353.88,247.96,7.9231
13,356.98,247.95,8.1303
13,357.98,247.69,8.0277
13,351.3,249.95,8.3022
13,352.22,249.84,8.1057
13,337.13,189.15,9.3987
13,338.17,189.18,9.2284
13,338.87,188.88,9.5652
13,337.19,190.19,9.1202
13,339.11,189.88,9.4494
13,339.86,190.81,9.5695
13,340.04,191.86,9.4033
13,317,193,9
13,318,193,9
13,319,193,9
13,320,193,9
13,321,193,9
13,322,193,9
13,323,193,9
13,324,193,9
13,325,193,9
13,336.05,193.3,9.2309
13,338,193.01,9.0141
13,340.56,192.8,9.4835
13,312,194,9
13,313,194,9
13,314,194,9
13,315,194,9
13,316,194,9
13,317,194,9
13,318,194,9
13,319,194,9
13,320,194,9
13,321,194,9
13,322,194,9
13,323,194,9
13,324,194,9
13,325,194,9
13,326,194,9
13,327,194,9
13,328,194,9
13,329,194,9
13,330,194,9
13,331,194,9
13,332,194,9
13,333,194,9
13,334,194,9
13,335.26,194.01,9.3095
13,302,195,9
13,302.22,195.39,9
13,310,195,9
13,311,195,9
13,312,195,9
13,313,195,9
13,314,195,9
13,315,195,9
13,316,195,9
13,317,195,9
13,318,195,9
13,319,195,9
13,320,195,9
13,321,195,9
13,322,195,9
13,323,195,9
13,324,195,9
13,325,195,9
13,326,195,9
13,327,195,9
13,328,195,9
13,329,195,9
13,330,195,9
13,331,195,9
13,332,195,9
13,333,195,9
13,334,195,9
13,335,195,9
13,339.94,194.98,9.0356
13,340.46,194.85,9.3015
13,300.56,196.17,9
13,301.15,195.93,9
13,302,196,9
13,309.78,195.61,9
13,310,196,9
13,311,196,9
13,312,196,9
13,313,196,9
13,314,196,9
13,315,196,9
13,316,196,9
13,325,196,9
13,326,196,9
13,327,196,9
13,328,196,9
13,329,196,9
13,330,196,9
13,331,196,9
13,332,196,9
13,333,196,9
13,334,196,9
13,335,196,9
13,336,196,9
13,339,196,9
13,340,196,9
13,341,196,9
13,300.57,196.27,9
13,311,197,9
13,332,197,9
13,333,197,9
13,334,197,9
13,335,197,9
13,336,197,9
13,337,197,9
13,338,197,9
13,339,197,9
13,340,197,9
13,341,197,9
13,332,198,9
13,333,198,9
13,334,198,9
13,335,198,9
13,336,198,9
13,337,198,9
13,338,198,9
13,339,198,9
13,340,198,9
13,333,199,9
13,339,199,9
13,333.71,198.94,8.6153
13,335.8,198.84,8.5813
13,337.69,198.66,8.7394
13,345,206,9
13,346,206,9
13,345,207,9
13,346,207,9
13,347,207,9
13,347.98,207.02,9.4227
13,348.99,207.01,9.5838
13,345,208,9
13,346,208,9
13,347.98,207.98,9.042
13,348.97,207.99,9.1046
13,345,209,9
13,346,209,9
13,367.02,209.31,9.5861
13,346,210,9
13,347,210,9
13,367.17,210.21,9.1126
13,368,210,9
13,347,211,9
13,348,211,9
13,363.03,211.27,9.406
13,365.14,210.92,9.4064
13,367,211,9
13,368,211,9
13,369,211,9
13,347,212,9
13,348,212,9
13,349.11,211.89,8.6768
13,359,212,9.3913
13,361.01,211.99,9.399
13,363.17,212.17,9.0851
13,364,212,9
13,365,212,9
13,366,212,9
13,367,212,9
13,368,212,9
13,369,212,9
13,370,212,9
13,370.61,212.39,9
13,348,213,9
13,349,213,9
13,363,213,9
13,364,213,9
13,365,213,9
13,366,213,9
13,367,213,9
13,368,213,9
13,369,213,9
13,370,213,9
13,371,213,9
13,348,214,9
13,349,214,9
13,350,214,9
13,358.98,213.98,8.6782
13,359.98,213.97,8.9861
13,361,214,9
13,362,214,9
13,363,214,9
13,364,214,9
13,365,214,9
13,366,214,9
13,367,214,9
13,370,214,9
13,371,214,9
13,372,214,9
13,349,215,9
13,350,215,9
13,351,215,9
13,359.8,214.69,9.1198
13,361,215,9
13,371,215,9
13,372,215,9
13,373,215,9
13,374,215,9
13,349,216,9
13,350,216,9
13,351,216,9
13,351.74,215.87,8.5388
13,358.97,215.86,8.8554
13,373,216,9
13,374,216,9
13,375,216,9
13,350,217,9
13,351,217,9
13,352,217,9
13,373,217,9
13,374,217,9
13,375,217,9
13,376,217,9
13,351,218,9
13,352,218,9
13,358.1,218.08,7.7662
13,358.96,217.96,7.4974
13,374,218,9
13,376.72,218.29,8.6341
13,351.55,218.94,9.3551
13,351.87,218.87,8.5016
13,356.16,219.1,8.033
13,356.02,218,9.1262
13,373.83,218.85,8.2517
13,377.77,219.21,8.4425
13,351.6,220.05,9.1357
13,355.31,219.99,8.0039
13,354.34,219.99,9.0964
13,374.85,219.09,8.5493
13,375.79,219.85,8.4177
13,378.48,220.05,8.1904
13,355.9,220.82,7.5383
13,377.64,220.02,8.4237
13,404.78,221.39,9
13,405,221,9
13,425.15,221.37,9.5992
13,427.16,221.32,9.5618
13,351.55,222.22,9.3784
13,351.98,221.76,8.6215
13,405,222,9
13,406.21,222.25,8.7241
13,407.34,222.63,8.6059
13,408.39,222.53,8.9006
13,409.19,222.21,9.1023
13,410.06,222.05,9.0657
13,419.06,222.08,9.2899
13,420.06,222.08,9.4433
13,424.18,221.98,9.4257
13,425.2,222.2,9.1259
13,428.02,222.03,9.2953
13,430,222,9.599
13,351.33,223.32,9.3293
13,407.14,223.13,8.5043
13,420.01,223.01,8.7442
13,423.01,223.01,9.1027
13,425.04,223.01,9.055
13,430.84,222.84,9.5148
13,350.75,224.28,9.4624
13,407.87,223.85,8.4579
13,355.05,225.02,7.9133
13,408.73,224,8.5459
13,409.9,224.12,8.6549
13,421.97,224.99,8.617
13,430.82,224.79,9.1408
13,431.73,224.98,9.5541
13,350.39,226.25,9.4297
13,422.87,226.1,8.6643
13,412.88,226.1,8.5828
13,317.23,228.35,9.8108
13,415,228,8.5318
13,316.85,228.76,9.6302
13,317.15,228.81,9.5929
13,317.92,228.99,9.8451
13,318.84,228.85,9.9506
13,349.49,229.24,9.3592
13,416,229,8.7092
13,349,230,9
13,350.06,229.76,8.6468
13,424,230.06,8.8509
13,348,231,9
13,349,231,9
13,358,231,7.3695
13,416,231,8.5185
13,423.17,231.17,8.308
13,424.97,231,8.7915
13,349,232,9
13,350,231.77,8.6517
13,425.84,232.07,8.7504
13,427.86,231.85,9.3288
13,349,233,9
13,350,233,9
